Source,Target,counts,total_transaction_amount,Risk Index,Weight
CUST10040532,CUST18826840,1,75,0.3,22.5
CUST10198185,CUST21530272,1,753,0.3,225.9
CUST10198185,EXTERNAL399593,1,1064,0.3,319.2
CUST10241684,CUST82211624,1,986,0.3,295.8
CUST10255283,CUST29725513,1,1260,0.6,756
CUST10269415,CUST38998449,1,331,0.3,99.3
CUST10288936,CUST55614695,1,24,0.3,7.2
CUST10371815,CUST41274277,1,1015,0.3,304.5
CUST10397352,EXTERNAL733654,1,246,0.3,73.8
CUST10453665,CUST81232964,1,435,0.6,261
CUST10460247,CUST38998449,1,306,0.3,91.8
CUST10465526,CUST36687448,1,1184,0.6,710.4
CUST10482801,CUST87727321,1,4256,0.3,1276.8
CUST10482801,CUST99163899,1,8588,0.3,2576.4
CUST10484845,CUST78445149,1,90,0.3,27
CUST10520381,CUST26141961,1,2939.5,0.3,881.85
CUST10521548,EXTERNAL599111,1,2920,0.3,876
CUST10521548,EXTERNAL800073,1,1100,0.3,330
CUST10530118,CUST12586309,1,0,0.3,0
CUST10543571,CUST92232880,1,1790,0.6,1074
CUST10568961,CUST54353517,1,4,0.6,2.4
CUST10593048,CUST83970800,1,136,0.3,40.8
CUST10601184,CUST48233698,1,184.5,0.3,55.35
CUST10661960,CUST78803542,1,1158.5,0.3,347.55
CUST10780832,CUST53185470,1,3958.5,0.3,1187.55
CUST10794178,CUST89938830,1,132,0.6,79.2
CUST10836389,CUST89255843,1,1240,0.3,372
CUST10873510,EXTERNAL970947,1,374,0.6,224.4
CUST10944299,EXTERNAL728359,1,230,0.3,69
CUST10962321,EXTERNAL733654,1,257,0.3,77.1
CUST11007044,CUST18385502,1,873,0.3,261.9
CUST11038621,CUST78808399,1,13,0.6,7.8
CUST11053299,CUST19764961,1,1504,0.3,451.2
CUST11065072,EXTERNAL469568,1,636,0.3,190.8
CUST11133887,CUST47437733,1,13,0.3,3.9
CUST11144716,CUST71088646,1,140,0.6,84
CUST11144716,CUST74459793,1,2730,0.6,1638
CUST11187823,CUST48227096,1,1076,0.3,322.8
CUST11206908,CUST51555596,1,132,0.3,39.6
CUST11208995,CUST50338284,1,660,0.3,198
CUST11240383,CUST11546110,1,191,0.3,57.3
CUST11306504,CUST41985264,1,10,0.3,3
CUST11329336,CUST39791936,1,1190,0.6,714
CUST11329336,EXTERNAL860474,1,1100,0.6,660
CUST11339291,CUST19791581,1,2720,0.3,816
CUST11358930,CUST58130513,1,100,0.3,30
CUST11385722,CUST19791581,1,328,0.3,98.4
CUST11427953,CUST75162978,1,606,0.3,181.8
CUST11448476,CUST43422083,1,1045,0.3,313.5
CUST11584891,CUST48935248,1,202,0.3,60.6
CUST11698052,CUST74327086,1,5616,0.3,1684.8
CUST11729791,CUST34756871,1,19,0.3,5.7
CUST11760614,CUST49442340,1,110,0.6,66
CUST11800799,EXTERNAL250753,1,100,0.3,30
CUST11802120,CUST16194005,1,244.5,0.3,73.35
