Source,Target,counts,Amount,Risk Index,Weight
CUST76082816,EXTERNAL909473,1,102027,0.3,30608.1
CUST76082816,CUST72402080,1,91568,0.3,27470.4
CUST76082816,CUST18923900,1,91324,0.3,27397.2
CUST29999330,EXTERNAL176667,1,68250,0.3,20475
EXTERNAL317650,CUST41274277,1,65770,0.3,19731
EXTERNAL272373,CUST33550411,1,63620,0.3,19086
EXTERNAL264989,CUST75213349,1,58075,0.3,17422.5
CUST22902413,EXTERNAL675178,1,49610,0.3,14883
CUST55380756,EXTERNAL339621,1,49564,0.3,14869.2
EXTERNAL513953,CUST90346975,1,49374,0.3,14812.2
EXTERNAL809577,CUST24539383,1,48750,0.3,14625
EXTERNAL171576,CUST62363548,1,47044,0.3,14113.2
CUST28125890,EXTERNAL439731,1,45866.5,0.3,13759.95
EXTERNAL797772,CUST76493457,1,45616,0.3,13684.8
CUST62220978,EXTERNAL172995,1,45591,0.3,13677.3
EXTERNAL317650,CUST85769551,1,45428.5,0.6,27257.1
CUST24310681,EXTERNAL863144,1,44910,0.3,13473
CUST48004808,EXTERNAL483787,1,44900,0.3,13470
CUST80174234,EXTERNAL785554,1,44229.5,1,44229.5
EXTERNAL317650,CUST49987229,1,44200,0.3,13260
CUST57424309,EXTERNAL339621,1,44145,0.3,13243.5
EXTERNAL588946,CUST85769551,1,43970,0.6,26382
CUST70977942,EXTERNAL588669,2,43735,1,43735
EXTERNAL507324,CUST10409922,1,43302,0.3,12990.6
EXTERNAL666768,CUST76399763,1,41532,0.3,12459.6
CUST26886462,EXTERNAL660609,1,40719,0.3,12215.7
EXTERNAL194154,CUST21530272,1,40604,0.3,12181.2
EXTERNAL513953,CUST55975993,1,40400,0.3,12120
EXTERNAL611016,CUST26958534,1,40085,0.3,12025.5
EXTERNAL611016,CUST70236467,1,40068,0.3,12020.4
CUST70977942,EXTERNAL623068,1,39449,1,39449
CUST38131074,CUST94918950,1,39323,0.3,11796.9
CUST39070172,EXTERNAL347878,1,39054,0.3,11716.2
CUST76737479,CUST42042512,1,38780,0.3,11634
EXTERNAL739373,CUST69797278,1,38260,0.3,11478
CUST39470934,EXTERNAL718703,1,36930,0.3,11079
CUST39070172,EXTERNAL964124,1,36718,0.3,11015.4
EXTERNAL291945,CUST79138251,1,36520,0.3,10956
EXTERNAL302427,CUST94687811,1,36130,0.3,10839
CUST65482747,EXTERNAL660609,1,35591,0.3,10677.3
CUST31652369,EXTERNAL439731,1,35335,0.3,10600.5
CUST41486893,EXTERNAL988639,1,35242.5,0.3,10572.75
CUST83672431,EXTERNAL784760,1,35084,0.3,10525.2
CUST65438206,EXTERNAL845112,1,35030,0.3,10509
EXTERNAL171576,CUST39359937,1,34506,0.3,10351.8
EXTERNAL469611,CUST19913725,1,33826.5,0.3,10147.95
