Source,Target,Amount,trxn_id,transaction type
CUST44605894,CUST77650473,2580,ZJNR92596928,0
CUST44605894,CUST49547303,7426,NBWO30568584,0
CUST44605894,CUST51794708,5554,GWRE45624401,0
CUST13316799,CUST77188529,2134,RHOL58222650,0
CUST13316799,EXTERNAL462083,3118,RGRL74773383,0
CUST44348689,CUST50875210,2252,BCQW56474385,0
CUST44348689,EXTERNAL241878,1816,WTII91167324,0
CUST44348689,EXTERNAL570209,1823,TSKD43226140,0
CUST41632480,CUST12344389,7876,JQBC25467914,0
CUST98840303,CUST31304165,3806,FMQI98825397,0
CUST32417932,EXTERNAL637378,2030,FEOF92060075,0
CUST22498420,EXTERNAL807205,2832,LQLN74213871,0
CUST87779877,EXTERNAL218562,4014.5,UAXS24511865,0
CUST15182071,CUST77920458,1610,MPFD45106519,0
CUST15182071,EXTERNAL182053,1469.5,UQPE66705877,0
CUST15182071,CUST44777016,2421.5,EHSY11346167,0
CUST15182071,CUST13316799,1854,GVWB12601157,0
CUST70977942,CUST89137381,9740,VITI48624637,0
CUST70977942,EXTERNAL588669,20163,TCTZ26907512,0
CUST70977942,EXTERNAL588669,23572,LPTW15565506,0
CUST70977942,EXTERNAL623068,39449,WRWV73288823,0
CUST98262263,EXTERNAL969368,2381.5,EQPB26446010,0
CUST98262263,EXTERNAL717505,3830.5,UUDV95893604,0
CUST98262263,EXTERNAL453310,6044.5,ZCNY62385229,0
CUST39070172,CUST88718854,1208,HRTO99976375,0
CUST39070172,EXTERNAL964124,36718,JBIQ37731619,0
CUST39070172,EXTERNAL347878,39054,TTIQ77182909,0
CUST39070172,CUST89291356,4800,NPSZ94082292,0
CUST47035199,CUST22498420,1780,MYLM79140633,0
CUST47035199,CUST19791581,1211,CEVZ73994733,0
CUST62878936,CUST45577461,3100,PMVI35581517,0
CUST62878936,CUST30914972,3256.5,GVTW20570924,0
CUST73707963,CUST29599066,1954,NMJG45639760,0
CUST45674350,EXTERNAL579387,11368,KOVC73306934,0
CUST45674350,EXTERNAL676409,6975,MLHA38649884,0
CUST45674350,EXTERNAL609165,11537,MQCT21602209,0
CUST45674350,CUST98840303,5798.5,VZFB38321066,0
CUST45674350,EXTERNAL796777,3770.5,LSPW99306743,0
CUST73457399,CUST62878936,3380,RTLM57967790,0
CUST73457399,CUST87779877,5128,OFBR35645428,0
CUST28125890,CUST39813987,2282,CJLT29485870,0
CUST28125890,CUST84769011,12122.5,RVQW29471644,0
CUST28125890,EXTERNAL439731,45866.5,PUOG51796509,0
CUST15503361,EXTERNAL439731,8593,HZUJ35978983,0
CUST85769551,EXTERNAL474208,1951.5,HYCW16870290,0
CUST85769551,CUST63505111,1395,GXCX40800574,0
CUST85769551,CUST13567965,1824.5,TYFW23268818,0
CUST24889770,EXTERNAL775264,6333,GDVS58243385,0
CUST17098365,EXTERNAL818255,1798,VIMG52990929,0
CUST17098365,CUST44348689,3717,HSWQ98732218,0
CUST80174234,EXTERNAL785554,44229.5,DDKO59593113,0
CUST31652369,CUST58116627,1400.5,TCVB61155788,0
CUST31652369,CUST82921884,11979.5,OJJR25803062,0
CUST31652369,EXTERNAL439731,35335,RAMM55499823,0
CUST31652369,CUST16790830,2326,VZAK46683667,0
CUST33059790,CUST35475939,11200,MMPL30530358,0
CUST33059790,CUST99163899,12981.5,KQRM67241373,0
CUST33059790,EXTERNAL590333,2420,MYCH29273783,0
CUST35875963,CUST73707963,1221,JENA93119184,0
CUST35875963,EXTERNAL303366,1558,EQSD61910237,0
CUST13567965,CUST47110564,1616.5,EUHH24184523,0
CUST89137381,CUST81654004,3996,ROYT39851691,0
CUST19791581,EXTERNAL710460,2225,EMUB62632809,0
CUST19791581,CUST89312065,1137.5,IBUB27608871,0
CUST54570501,EXTERNAL246667,7253.5,ZEIY67263565,0
CUST54570501,CUST90195396,9730,GJLB75951195,0
CUST47262010,CUST86587232,1858,POFH69026515,0
CUST78749858,CUST54570501,2420,DBYJ80004189,0
CUST99163899,CUST32283109,2700,SWXD85912669,0
CUST20442883,CUST77650473,15000,FNJU91242831,0
CUST31299272,EXTERNAL200353,9451,JVUV50345925,0
CUST31299272,CUST39732579,3581.5,JVPH19393622,0
CUST76469825,EXTERNAL256466,11228,IDFI74082144,0
CUST76469825,CUST57288936,11362,LXOE23980766,0
CUST76469825,CUST40703038,2425,MBZC55966610,0
CUST76469825,CUST49442340,11960,ETCO52388608,0
CUST76469825,EXTERNAL368915,1054,ORWX14765397,0
CUST50538854,EXTERNAL970947,4830,OEXS71244954,0
CUST19459381,EXTERNAL637432,19183.5,DEYF39268272,0
CUST78382574,EXTERNAL822221,17717,TAGL48472392,0
CUST25476094,EXTERNAL288338,24420,LEIB71084604,0
CUST18277944,CUST11563228,3340,DUSN24465287,0
EXTERNAL209286,CUST89141759,3123,EALU19752905,0
CUST38131074,EXTERNAL874504,8741.5,ZJPU62926063,0
CUST38131074,CUST94918950,39323,WVNS22639026,0
CUST28434211,CUST20406227,4004.5,DFAU68099054,0
EXTERNAL531933,CUST49389828,3614,RUVI91544574,0
EXTERNAL531933,CUST38094022,4685,EXNB89472959,0
EXTERNAL531933,CUST18851796,3776,OSCD35237877,0
EXTERNAL643413,CUST25210192,1094.5,YCZH72763518,0
EXTERNAL695268,CUST13316799,2700,HLRI29067872,0
CUST49527785,EXTERNAL733654,3935,UGUI34661591,0
CUST49527785,CUST44348689,4195,PRMC21401031,0
EXTERNAL115117,CUST72239801,1932,OOUZ33052413,0
EXTERNAL115117,CUST44348689,4414,YJNY52180819,0
EXTERNAL907939,CUST41632480,7841,CSCJ73233110,0
EXTERNAL907939,CUST19045186,1167,ZAPS78729773,0
EXTERNAL907939,CUST32417932,2000,BHPU96277994,0
EXTERNAL985690,CUST75072593,1866,QYVW67487687,0
EXTERNAL985690,CUST57212625,4270,BXIH76785723,0
EXTERNAL985690,CUST10521548,5149,QUZI92217508,0
CUST36803709,CUST38619845,3227,TNLF25097991,0
CUST36803709,EXTERNAL351987,1018,FLIM68597382,0
CUST36803709,CUST22498420,2670,PBHW98788692,0
CUST36803709,CUST38619845,3300,TXQH61142443,0
EXTERNAL262559,CUST87779877,1475,KWRY64268295,0
CUST87088153,CUST52984491,1187.5,AUTI66938775,0
CUST87088153,CUST87779877,3754,CMPR94668684,0
EXTERNAL103302,CUST15182071,1965,HTXG99396382,0
EXTERNAL318868,CUST70977942,2612,JWXX88089663,0
EXTERNAL318868,CUST54490370,1315.5,SJBU90315550,0
EXTERNAL206136,CUST87731042,22486,EKJH18134016,0
EXTERNAL206136,CUST53185470,28879,MWTR46659065,0
EXTERNAL206136,CUST70977942,7738,PEGJ33325767,0
EXTERNAL206136,CUST70977942,8688,XIIG85451342,0
EXTERNAL734218,CUST70977942,7410,FORA25654623,0
EXTERNAL248256,CUST69473096,1543,GIJR92995035,0
EXTERNAL248256,CUST70977942,4243.5,IKQQ75005590,0
EXTERNAL351715,CUST70977942,1253,ERUL11830884,0
EXTERNAL214288,CUST42806651,4099,GHCC51303421,0
EXTERNAL214288,CUST70977942,4005,AQDT83745194,0
CUST89933886,EXTERNAL976454,2254,BTOU39006543,0
CUST89933886,EXTERNAL295923,1815,WEDQ29417385,0
CUST89933886,CUST70977942,2156,ODLV39159632,0
CUST90944243,CUST89733037,1044.5,IRPH29062109,0
CUST90944243,EXTERNAL110639,1000,FFEG35334550,0
CUST90944243,CUST19045186,1685,PELS23268903,0
CUST47048868,EXTERNAL637523,1156,XFUL89372079,0
CUST47048868,CUST50237501,1205,FLGM46316574,0
CUST47048868,CUST19045186,1035,JAVI56316403,0
CUST47048868,CUST55005800,6690,WHAL82000408,0
EXTERNAL871723,CUST11240383,9980,CIAA79706538,0
EXTERNAL871723,CUST19045186,8141.5,OJWS94203459,0
CUST98825753,CUST98262263,1385,BBSE68438573,0
CUST98825753,EXTERNAL166442,4240,RPAO22836406,0
EXTERNAL531873,CUST98262263,33009.5,DZVB21281169,0
EXTERNAL531873,CUST24889770,1340,XNXO14980519,0
EXTERNAL531873,CUST39070172,24383.5,FWMY81234952,0
EXTERNAL739373,CUST73800248,5086.5,DYBM14754730,0
EXTERNAL739373,CUST98262263,33556,YSYW66278070,0
EXTERNAL739373,CUST66327417,3105,XVJJ81455144,0
EXTERNAL739373,CUST69797278,38260,ZLRP77690595,0
CUST26886462,EXTERNAL660609,40719,ABEJ51227478,0
CUST26886462,CUST98262263,2044,IONG71317151,0
CUST26886462,EXTERNAL178145,1362,RMUH18207015,0
CUST13022889,CUST98262263,18348,RPUF95453119,0
EXTERNAL465987,CUST13022889,5530,YDAV50655138,0
EXTERNAL465987,CUST69307740,1336,ESRZ94946218,0
EXTERNAL465987,CUST67094114,1350,UDZI23162702,0
EXTERNAL465987,CUST61292060,7782,MOYY68770927,0
EXTERNAL465987,CUST98262263,5400,JSWE41748349,0
EXTERNAL382127,CUST39070172,2508,ISSY17148123,0
EXTERNAL382127,CUST26141961,2243,CUPR54487115,0
EXTERNAL894495,CUST96985354,1260,GJPJ25457018,0
EXTERNAL894495,CUST39070172,22697,LWZW73850814,0
EXTERNAL894495,CUST82985124,16767.5,ZFPD77155756,0
EXTERNAL894495,CUST59407582,6465,UCZH23676959,0
EXTERNAL453310,CUST39070172,6356,WHPS30766252,0
EXTERNAL622718,CUST47035199,1257.5,PRUF26654950,0
EXTERNAL115428,CUST45674350,3848,QDTG66150001,0
EXTERNAL115428,CUST81265791,5150,TSZC63511869,0
