id sender,id receiver,amount,trxn_id,transaction type
CUST72720443,EXTERNAL263758,2464.0,CSYK15994928,0
CUST94316379,CUST37652727,11513.0,TUPT60776267,0
CUST94316379,EXTERNAL861626,23666.0,MFBT81991006,0
CUST70977942,CUST89137381,9740.0,VITI48624637,0
CUST70977942,EXTERNAL588669,20163.0,TCTZ26907512,0
CUST70977942,EXTERNAL588669,23572.0,LPTW15565506,0
CUST70977942,EXTERNAL623068,39449.0,WRWV73288823,0
CUST21866828,CUST13131228,24103.0,PQVL93934052,0
CUST21866828,CUST46148163,8839.5,AXRL96258873,0
CUST30469219,EXTERNAL747175,2182.0,OOWA31534601,0
CUST73707963,CUST29599066,1954.0,NMJG45639760,0
CUST45674350,EXTERNAL579387,11368.0,KOVC73306934,0
CUST45674350,EXTERNAL676409,6975.0,MLHA38649884,0
CUST45674350,EXTERNAL609165,11537.0,MQCT21602209,0
CUST45674350,CUST98840303,5798.5,VZFB38321066,0
CUST45674350,EXTERNAL796777,3770.5,LSPW99306743,0
CUST85769551,EXTERNAL474208,1951.5,HYCW16870290,0
CUST85769551,CUST63505111,1395.0,GXCX40800574,0
CUST85769551,CUST13567965,1824.5,TYFW23268818,0
CUST20146665,CUST63975581,3692.0,AGFD57972236,0
CUST80174234,EXTERNAL785554,44229.5,DDKO59593113,0
CUST31984715,EXTERNAL817266,4389.0,DBFB24087415,0
CUST33059790,CUST35475939,11200.0,MMPL30530358,0
CUST33059790,CUST99163899,12981.5,KQRM67241373,0
CUST33059790,EXTERNAL590333,2420.0,MYCH29273783,0
CUST22496592,EXTERNAL568080,3695.0,IFEP47855889,0
CUST22496592,CUST90852378,11368.0,DEYC25108667,0
CUST14132094,EXTERNAL571195,1219.0,RVQB98884273,0
CUST49735143,EXTERNAL312626,3570.0,FUHX98597333,0
CUST44605894,CUST77650473,2580.0,ZJNR92596928,0
CUST44605894,CUST49547303,7426.0,NBWO30568584,0
CUST44605894,CUST51794708,5554.0,GWRE45624401,0
CUST13316799,CUST77188529,2134.0,RHOL58222650,0
CUST13316799,EXTERNAL462083,3118.0,RGRL74773383,0
CUST44348689,CUST50875210,2252.0,BCQW56474385,0
CUST44348689,EXTERNAL241878,1816.0,WTII91167324,0
CUST44348689,EXTERNAL570209,1823.0,TSKD43226140,0
CUST41632480,CUST12344389,7876.0,JQBC25467914,0
CUST98840303,CUST31304165,3806.0,FMQI98825397,0
CUST32417932,EXTERNAL637378,2030.0,FEOF92060075,0
CUST22498420,EXTERNAL807205,2832.0,LQLN74213871,0
CUST87779877,EXTERNAL218562,4014.5,UAXS24511865,0
CUST15182071,CUST77920458,1610.0,MPFD45106519,0
CUST15182071,EXTERNAL182053,1469.5,UQPE66705877,0
CUST15182071,CUST44777016,2421.5,EHSY11346167,0
CUST15182071,CUST13316799,1854.0,GVWB12601157,0
CUST98262263,EXTERNAL969368,2381.5,EQPB26446010,0
CUST98262263,EXTERNAL717505,3830.5,UUDV95893604,0
CUST98262263,EXTERNAL453310,6044.5,ZCNY62385229,0
CUST39070172,CUST88718854,1208.0,HRTO99976375,0
CUST39070172,EXTERNAL964124,36718.0,JBIQ37731619,0
CUST39070172,EXTERNAL347878,39054.0,TTIQ77182909,0
CUST39070172,CUST89291356,4800.0,NPSZ94082292,0
CUST47035199,CUST22498420,1780.0,MYLM79140633,0
CUST47035199,CUST19791581,1211.0,CEVZ73994733,0
CUST62878936,CUST45577461,3100.0,PMVI35581517,0
CUST62878936,CUST30914972,3256.5,GVTW20570924,0
CUST73457399,CUST62878936,3380.0,RTLM57967790,0
CUST73457399,CUST87779877,5128.0,OFBR35645428,0
CUST28125890,CUST39813987,2282.0,CJLT29485870,0
CUST28125890,CUST84769011,12122.5,RVQW29471644,0
CUST28125890,EXTERNAL439731,45866.5,PUOG51796509,0
CUST15503361,EXTERNAL439731,8593.0,HZUJ35978983,0
CUST24889770,EXTERNAL775264,6333.0,GDVS58243385,0
CUST17098365,EXTERNAL818255,1798.0,VIMG52990929,0
CUST17098365,CUST44348689,3717.0,HSWQ98732218,0
CUST31652369,CUST58116627,1400.5,TCVB61155788,0
CUST31652369,CUST82921884,11979.5,OJJR25803062,0
CUST31652369,EXTERNAL439731,35335.0,RAMM55499823,0
CUST31652369,CUST16790830,2326.0,VZAK46683667,0
CUST35875963,CUST73707963,1221.0,JENA93119184,0
CUST35875963,EXTERNAL303366,1558.0,EQSD61910237,0
CUST13567965,CUST47110564,1616.5,EUHH24184523,0
CUST89137381,CUST81654004,3996.0,ROYT39851691,0
CUST19791581,EXTERNAL710460,2225.0,EMUB62632809,0
CUST19791581,CUST89312065,1137.5,IBUB27608871,0
CUST54570501,EXTERNAL246667,7253.5,ZEIY67263565,0
